Model,Price,Spec
"realme 5 (Crystal Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C21Y (Cross Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 20 (Glory Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme Narzo 50A Prime (Flash Black, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme X50 Pro (Moss Green, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme Narzo 50A Prime (Flash Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"realme Narzo 30A (Laser Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (150W - Thor Limited Edition) (Nitro Blue, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme X50 Pro (Rust Red, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme 6i (Eclipse Black, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 20 (Victory Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50 Pro 5G (Hyper Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme C2 (Diamond Blue, 16 GB)","₹32,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
"realme 9 Pro 5G (Sunrise Blue, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C15 (Power Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme X3 SuperZoom (Glacier Blue, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme X7 5G (Space Silver, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme C15 (Power Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet White, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT NEO 3 (150W) (Nitro Blue, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme C15 (Power Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C15 (Power Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet Blue, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 (Racing Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT NEO 3 (150W) (Nitro Blue, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme 7 (Mist White, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 3 Pro (Nitro Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C15 (Power Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C33 (Night Sea, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"realme Narzo 20 (Victory Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 6 Pro (Lightning Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 20A (Victory Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 20A (Glory Silver, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C12 (Power Silver, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme Narzo 20 (Glory Silver, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C15 Qualcomm Edition (Power Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 9 (Meteor Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 5 Pro (Sparkling Blue, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C3 (Volcano Grey, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C3 (Frozen Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5i (Aqua Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme 5 Pro (Sparkling Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5 Pro (Crystal Green, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 20 Pro (Black Ninja, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C2 (Diamond Black, 16 GB)","₹32,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
"realme Narzo 10A (So White, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme X50 Pro (Moss Green, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme 6 (Comet Blue, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C1 (Mirror Black, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme X3 SuperZoom (Arctic White, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme Narzo 30 (Racing Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 7 (Mist Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme X3 SuperZoom (Glacier Blue, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme X (Polar White, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme X (Space Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme X (Space Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme C1 (Navy Blue, 16 GB)","₹32,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
"realme C1 (Mirror Black, 16 GB)","₹32,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
"realme 2 (Diamond Red, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 5i (Forest Green, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme 5i (Aqua Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme 3 (Dynamic Black, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Silver, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 2 Pro (Black Sea, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C21 (Cross Black, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C21 (Cross Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C15 (Power Silver, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 5i (Aqua Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme 8 (Cyber Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C21 (Cross Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Silver, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C21 (Cross Black, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C21 (Cross Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 8 Pro (Infinite Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 7 Pro (Mirror Blue, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 50 Pro 5G (Hyper Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo 20 (Glory Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C25s (Watery Grey, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 5G (Racing Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 30 5G (Racing Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 30 5G (Racing Silver, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 7 Pro (Mirror Silver, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C12 (Power Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 2 (Diamond Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme C31 (Light Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C11 2021 (Cool Grey, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C11 2021 (Cool Blue, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 5G (Racing Blue, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C11 2021 (Cool Grey, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i (Carbon Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo 10 (That Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 2 (Diamond Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme C31 (Light Silver, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C11 2021 (Cool Grey, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C11 2021 (Cool Blue, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 5G (Racing Blue, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C11 2021 (Cool Grey, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C11 2021 (Cool Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme XT (Pearl White, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme C31 (Dark Green, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme X7 Max (Mercury Silver, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme 5s (Crystal Red, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C25Y (Metal Grey, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C25 (Watery Grey, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C25Y (Glacier Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 8i (Space Purple, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8i (Space Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8i (Space Purple, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme X50 Pro 5G (Rust Red, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme C11 (Rich Green, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 10 (Clash White, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 10 (Rush Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C25Y (Metal Grey, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
