Model,Price,Spec
"realme Narzo N53 (Feather Gold, 128 GB)","₹10,400",8 GB RAM | 128 GB ROM
"realme Narzo N55 (Prime Blue, 128 GB)","₹10,296",6 GB RAM | 128 GB ROM
"realme Narzo 60 Pro 5G (Cosmic Black, 1 TB)","₹28,999",12 GB RAM | 1 TB ROM
"realme Narzo 60 Pro 5G (Mars Orange, 256 GB)","₹26,789",12 GB RAM | 256 GB ROM
"realme Narzo 50i Prime (Mint Green, 64 GB)","₹7,799",4 GB RAM | 64 GB ROM
"realme Narzo N53 (Feather Gold, 64 GB)","₹9,052",4 GB RAM | 64 GB ROM
"realme Narzo 60 pro 5G (?Cosmic Black, 128 GB)","₹23,498",8 GB RAM | 128 GB ROM
"realme Narzo 60 Pro 5G (Mars orange, 128 GB)","₹22,075",8 GB RAM | 128 GB ROM
"realme Narzo 50 (Speed Black, 64 GB)","₹10,090",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i Prime (Dark Blue, 32 GB)","₹8,190",3 GB RAM | 32 GB ROM
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",6 GB RAM | 128 GB ROM
"realme C35 (Glowing Black, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme Narzo 50 (Speed Blue, 128 GB)","₹13,490",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i Prime (Dark Blue, 64 GB)","₹8,380",4 GB RAM | 64 GB ROM
"realme C33 (Aqua Blue, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C33 (Night Sea, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 60 Pro 5G (Mars Orange, 256 GB)","₹26,790",12 GB RAM | 256 GB ROM
"realme C35 (Glowing Black, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C33 2023 (Night Sea, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Meteor Black, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 3i (Diamond Blue, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C20 (Cool Grey, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C20 (Cool Blue, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 3i (Diamond Blue, 32 GB)","₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet Blue, 128 GB)","₹16,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
